game_id,season,tipoff,venue,home_team_id,away_team_id,home_score,away_score
g_2026_01_17_HAI_AMB, 2025-2026 , 2026-01-17T16:00:00+02:00 , Blizhniy Khutor ,HAI,AMB,59,56
g_2026_01_18_WOL_GTM, 2025-2026 , 2026-01-18T10:00:00+02:00 , SC Edilitate ,WOL,GTM,55,60
g_2026_01_18_ADM_MET, 2025-2026 , 2026-01-18T13:00:00+02:00 , SC Edilitate ,ADM,MET,47,90
g_2026_01_18_EDI_CAS, 2025-2026 , 2026-01-18T14:30:00+02:00 , SC Edilitate ,EDI,CAS,56,87
g_2026_01_18_VET_USM, 2025-2026 , 2026-01-18T16:00:00+02:00 , SC Edilitate ,VET,USM,63,68
g_2026_01_24_MET_HAI, 2025-2026 , 2026-01-24T13:00:00+02:00 , Ribnita ,MET,HAI,86,55
g_2026_01_24_DRO_WOL, 2025-2026 , 2026-01-24T13:00:00+02:00 , Drochia ,DRO,WOL,76,46
g_2026_01_25_EDI_USM, 2025-2026 , 2026-01-25T10:00:00+02:00 , SC Edilitate ,EDI,USM,52,65
g_2026_01_25_CAS_ADM, 2025-2026 , 2026-01-25T11:30:00+02:00 , SC Edilitate ,CAS,ADM,97,38
g_2026_01_25_AMB_BRI, 2025-2026 , 2026-01-25T14:00:00+02:00 , SC Edilitate ,AMB,BRI,85,52
g_2026_01_25_GTM_VET, 2025-2026 , 2026-01-25T15:30:00+02:00 , SC Edilitate ,GTM,VET,68,48
