team_id,team_name,coach,city
CAS,CASA NOASTRA,Vladimir Priscepnîi,Chisinau
MET,METALLURG,V. Ciocan,Ribnita
AMB,ADMIRALS AMBASSADORS,Nicolai Coputerco,Chisinau
VET,VETERANS,Serghei Noviciuc,Chisinau
HAI,HITECH SUCLEIA,Serghei Machinin,Sucleia
DRO,DROCHIA BC,Ruslan Varzari,Drochia
BLD,BLADES,Artur Tonciu,Chisinau
WOL,WHITE WOLVES,Eugeniu Postolache,Chisinau
GTM,GAME TIME,Anatol Umaneț,Chisinau
USM,USMF,Cornel Ciurea,Chisinau
EDI,EDIN BASKET,Alexandr Ulianici,Edinet
ADM,ADMIRALS,Vadim Shneider,Chisinau
ALU,ADMIRALS ALUMNI,Nichita Ciorba,Chisinau
BRI,BRICI BASKET,Alexandr Pozeha,Chisinau
